CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 189.507812 1690947120.8168
MEM 191.371094 1690947120.9171
MEM 190.292969 1690947121.0177
MEM 190.250000 1690947121.1180
MEM 191.910156 1690947121.2182
MEM 190.281250 1690947121.3189
MEM 191.371094 1690947121.4195
MEM 189.507812 1690947121.5202
MEM 191.371094 1690947121.6209
MEM 190.292969 1690947121.7211
MEM 190.281250 1690947121.8218
MEM 191.898438 1690947121.9224
MEM 190.281250 1690947122.0227
MEM 190.300781 1690947122.1233
MEM 190.250000 1690947122.2239
MEM 191.878906 1690947122.3242
MEM 190.281250 1690947122.4248
MEM 191.371094 1690947122.5251
MEM 190.250000 1690947122.6257
MEM 190.292969 1690947122.7264
MEM 190.250000 1690947122.8266
MEM 191.371094 1690947122.9272
MEM 189.507812 1690947123.0274
MEM 191.371094 1690947123.1277
MEM 190.250000 1690947123.2283
MEM 191.371094 1690947123.3285
MEM 189.507812 1690947123.4286
MEM 191.371094 1690947123.5293
MEM 191.898438 1690947123.6296
MEM 191.371094 1690947123.7298
MEM 190.363281 1690947123.8303
MEM 190.281250 1690947123.9305
MEM 191.371094 1690947124.0310
MEM 189.636719 1690947124.1316
MEM 189.636719 1690947124.2318
MEM 189.636719 1690947124.3324
MEM 191.515625 1690947124.4332
MEM 191.515625 1690947124.5338
MEM 201.445312 1690947124.6341
MEM 219.078125 1690947124.7349
MEM 218.347656 1690947124.8380
MEM 218.351562 1690947124.9386
MEM 218.371094 1690947125.0392
MEM 218.371094 1690947125.1398
MEM 218.414062 1690947125.2403
MEM 218.375000 1690947125.3419
MEM 218.382812 1690947125.4424
MEM 218.382812 1690947125.5432
MEM 218.414062 1690947125.6437
MEM 218.812500 1690947125.7443
MEM 218.414062 1690947125.8465
MEM 218.414062 1690947125.9471
MEM 218.414062 1690947126.0476
MEM 218.414062 1690947126.1481
MEM 218.414062 1690947126.2484
MEM 218.417969 1690947126.3489
MEM 218.417969 1690947126.4496
MEM 218.417969 1690947126.5500
MEM 219.398438 1690947126.6507
MEM 219.445312 1690947126.7510
MEM 219.445312 1690947126.8520
MEM 219.445312 1690947126.9532
MEM 219.445312 1690947127.0537
MEM 219.445312 1690947127.1543
MEM 219.445312 1690947127.2549
MEM 219.445312 1690947127.3556
MEM 219.445312 1690947127.4565
MEM 219.460938 1690947127.5571
MEM 219.460938 1690947127.6576
MEM 219.472656 1690947127.7582
MEM 219.472656 1690947127.8589
MEM 219.472656 1690947127.9593
MEM 219.472656 1690947128.0597
MEM 219.472656 1690947128.1604
MEM 219.472656 1690947128.2608
MEM 219.472656 1690947128.3615
MEM 219.472656 1690947128.4620
MEM 219.472656 1690947128.5626
MEM 219.472656 1690947128.6633
MEM 219.472656 1690947128.7642
MEM 219.472656 1690947128.8649
MEM 219.472656 1690947128.9658
MEM 219.472656 1690947129.0664
MEM 219.472656 1690947129.1670
MEM 219.472656 1690947129.2676
MEM 219.472656 1690947129.3683
MEM 219.472656 1690947129.4690
MEM 219.472656 1690947129.5693
MEM 219.472656 1690947129.6696
MEM 219.472656 1690947129.7701
MEM 219.472656 1690947129.8706
MEM 219.472656 1690947129.9710
MEM 219.472656 1690947130.0716
MEM 219.472656 1690947130.1721
MEM 219.472656 1690947130.2723
MEM 219.472656 1690947130.3728
MEM 219.472656 1690947130.4734
MEM 219.472656 1690947130.5739
MEM 219.472656 1690947130.6748
MEM 219.472656 1690947130.7756
MEM 219.472656 1690947130.8761
MEM 219.472656 1690947130.9765
MEM 219.472656 1690947131.0770
MEM 219.472656 1690947131.1774
MEM 219.472656 1690947131.2783
MEM 219.472656 1690947131.3788
MEM 219.472656 1690947131.4793
MEM 219.472656 1690947131.5798
MEM 219.472656 1690947131.6803
MEM 219.472656 1690947131.7807
MEM 219.472656 1690947131.8811
MEM 219.472656 1690947131.9815
MEM 219.472656 1690947132.0820
MEM 219.480469 1690947132.1824
MEM 219.480469 1690947132.2828
MEM 219.480469 1690947132.3834
MEM 219.480469 1690947132.4838
MEM 219.480469 1690947132.5843
MEM 219.480469 1690947132.6844
MEM 219.480469 1690947132.7851
MEM 219.480469 1690947132.8854
MEM 219.480469 1690947132.9858
MEM 219.480469 1690947133.0862
MEM 219.480469 1690947133.1866
MEM 219.480469 1690947133.2872
MEM 219.480469 1690947133.3876
MEM 219.480469 1690947133.4880
MEM 219.480469 1690947133.5886
MEM 219.480469 1690947133.6890
MEM 219.480469 1690947133.7894
MEM 219.480469 1690947133.8898
MEM 219.480469 1690947133.9902
MEM 219.480469 1690947134.0911
MEM 219.480469 1690947134.1915
MEM 219.480469 1690947134.2919
MEM 219.964844 1690947134.3923
MEM 226.226562 1690947134.4926
MEM 226.546875 1690947134.5933
MEM 226.605469 1690947134.6937
MEM 226.636719 1690947134.7941
MEM 226.636719 1690947134.8946
MEM 226.636719 1690947134.9954
MEM 226.640625 1690947135.0959
MEM 227.480469 1690947135.1961
MEM 227.480469 1690947135.2965
MEM 227.480469 1690947135.3968
MEM 227.480469 1690947135.4972
MEM 227.480469 1690947135.5976
MEM 227.480469 1690947135.6983
MEM 227.480469 1690947135.7990
MEM 227.480469 1690947135.8996
MEM 227.480469 1690947136.0000
MEM 227.484375 1690947136.1006
MEM 227.484375 1690947136.2009
MEM 227.519531 1690947136.3012
MEM 227.519531 1690947136.4016
MEM 227.519531 1690947136.5018
MEM 227.519531 1690947136.6022
MEM 227.519531 1690947136.7026
MEM 227.519531 1690947136.8030
MEM 227.519531 1690947136.9037
MEM 227.519531 1690947137.0040
MEM 227.519531 1690947137.1045
MEM 227.519531 1690947137.2049
MEM 227.519531 1690947137.3054
MEM 227.519531 1690947137.4056
MEM 227.519531 1690947137.5061
MEM 227.519531 1690947137.6066
MEM 227.519531 1690947137.7072
MEM 227.519531 1690947137.8077
MEM 227.519531 1690947137.9081
MEM 227.519531 1690947138.0084
MEM 227.519531 1690947138.1092
MEM 227.519531 1690947138.2100
MEM 227.519531 1690947138.3104
MEM 227.519531 1690947138.4106
MEM 227.519531 1690947138.5111
MEM 227.519531 1690947138.6118
MEM 227.519531 1690947138.7122
MEM 227.519531 1690947138.8128
MEM 227.519531 1690947138.9136
MEM 227.519531 1690947139.0142
MEM 227.519531 1690947139.1144
MEM 227.519531 1690947139.2149
MEM 227.519531 1690947139.3152
MEM 227.519531 1690947139.4156
MEM 227.519531 1690947139.5163
MEM 227.519531 1690947139.6169
MEM 227.519531 1690947139.7176
MEM 227.519531 1690947139.8179
MEM 227.519531 1690947139.9183
MEM 228.250000 1690947140.0189
MEM 227.519531 1690947140.1195
MEM 227.519531 1690947140.2199
MEM 227.519531 1690947140.3207
MEM 227.519531 1690947140.4216
MEM 227.519531 1690947140.5219
MEM 227.519531 1690947140.6225
MEM 230.160156 1690947140.7227
MEM 227.519531 1690947140.8241
