CMDLINE C:\Users\63977\AppData\Local\Programs\Python\Python311\python.exe PolyVisionMain.py
MEM 1.675781 1690947533.0982
MEM 19.265625 1690947533.1993
MEM 36.136719 1690947533.2999
MEM 53.890625 1690947533.4002
MEM 63.597656 1690947533.5004
MEM 74.988281 1690947533.6007
MEM 83.449219 1690947533.7009
MEM 85.820312 1690947533.8017
MEM 96.718750 1690947533.9028
MEM 101.128906 1690947534.0030
MEM 106.042969 1690947534.1033
MEM 114.421875 1690947534.2035
MEM 145.558594 1690947534.3041
MEM 146.621094 1690947534.4045
MEM 146.730469 1690947534.5048
MEM 149.082031 1690947534.6053
MEM 166.929688 1690947534.7056
MEM 189.796875 1690947534.8060
MEM 187.894531 1690947534.9064
MEM 189.765625 1690947535.0066
MEM 189.523438 1690947535.1068
MEM 189.449219 1690947535.2074
MEM 189.460938 1690947535.3077
MEM 188.675781 1690947535.4081
MEM 189.449219 1690947535.5085
MEM 189.539062 1690947535.6087
MEM 189.421875 1690947535.7091
MEM 190.546875 1690947535.8097
MEM 188.683594 1690947535.9101
MEM 189.164062 1690947536.0105
MEM 190.546875 1690947536.1110
MEM 187.675781 1690947536.2115
MEM 190.074219 1690947536.3119
MEM 189.605469 1690947536.4125
MEM 187.710938 1690947536.5129
MEM 189.511719 1690947536.6132
MEM 191.164062 1690947536.7136
MEM 189.304688 1690947536.8141
MEM 191.167969 1690947536.9145
MEM 190.160156 1690947537.0151
MEM 191.167969 1690947537.1154
MEM 190.164062 1690947537.2156
MEM 191.171875 1690947537.3159
MEM 189.089844 1690947537.4164
MEM 189.582031 1690947537.5169
MEM 189.625000 1690947537.6173
MEM 188.839844 1690947537.7177
MEM 190.703125 1690947537.8179
MEM 188.839844 1690947537.9182
MEM 190.703125 1690947538.0186
MEM 189.695312 1690947538.1188
MEM 189.613281 1690947538.2193
MEM 190.230469 1690947538.3200
MEM 190.148438 1690947538.4206
MEM 191.238281 1690947538.5209
MEM 188.371094 1690947538.6213
MEM 190.902344 1690947538.7218
MEM 189.039062 1690947538.8225
MEM 190.902344 1690947538.9232
MEM 189.039062 1690947539.0235
MEM 190.902344 1690947539.1241
MEM 191.410156 1690947539.2243
MEM 189.781250 1690947539.3246
MEM 189.832031 1690947539.4251
MEM 189.792969 1690947539.5258
MEM 190.902344 1690947539.6262
MEM 189.039062 1690947539.7268
MEM 190.902344 1690947539.8272
MEM 189.894531 1690947539.9276
MEM 189.812500 1690947540.0280
MEM 195.558594 1690947540.1283
MEM 189.781250 1690947540.2289
MEM 190.902344 1690947540.3294
MEM 189.039062 1690947540.4298
MEM 190.902344 1690947540.5303
MEM 190.273438 1690947540.6309
MEM 189.085938 1690947540.7313
MEM 190.902344 1690947540.8317
MEM 189.824219 1690947540.9320
MEM 189.039062 1690947541.0322
MEM 190.902344 1690947541.1324
MEM 189.894531 1690947541.2326
MEM 190.902344 1690947541.3330
MEM 195.500000 1690947541.4335
MEM 189.812500 1690947541.5340
MEM 189.195312 1690947541.6343
MEM 189.195312 1690947541.7347
MEM 189.289062 1690947541.8350
MEM 191.152344 1690947541.9353
MEM 191.152344 1690947542.0355
MEM 206.984375 1690947542.1361
MEM 216.988281 1690947542.2366
MEM 218.968750 1690947542.3375
MEM 218.968750 1690947542.4380
MEM 218.972656 1690947542.5387
MEM 218.972656 1690947542.6389
MEM 218.976562 1690947542.7393
MEM 218.976562 1690947542.8401
MEM 218.976562 1690947542.9405
MEM 218.976562 1690947543.0415
MEM 219.031250 1690947543.1424
MEM 219.046875 1690947543.2429
MEM 219.046875 1690947543.3433
MEM 219.058594 1690947543.4439
MEM 219.058594 1690947543.5443
MEM 219.058594 1690947543.6445
MEM 219.058594 1690947543.7448
MEM 219.058594 1690947543.8452
MEM 219.058594 1690947543.9458
MEM 219.058594 1690947544.0462
MEM 219.058594 1690947544.1466
MEM 219.058594 1690947544.2470
MEM 219.058594 1690947544.3474
MEM 219.058594 1690947544.4478
MEM 219.058594 1690947544.5481
MEM 219.054688 1690947544.6490
MEM 219.054688 1690947544.7497
MEM 219.054688 1690947544.8503
MEM 219.054688 1690947544.9508
MEM 219.054688 1690947545.0512
MEM 219.054688 1690947545.1516
MEM 219.054688 1690947545.2520
MEM 219.054688 1690947545.3524
MEM 219.054688 1690947545.4529
MEM 219.054688 1690947545.5537
MEM 219.054688 1690947545.6541
MEM 219.054688 1690947545.7546
MEM 219.054688 1690947545.8550
MEM 219.054688 1690947545.9552
MEM 219.054688 1690947546.0560
MEM 219.054688 1690947546.1566
MEM 219.054688 1690947546.2570
MEM 219.054688 1690947546.3574
MEM 219.054688 1690947546.4578
MEM 219.054688 1690947546.5582
MEM 219.054688 1690947546.6586
MEM 219.054688 1690947546.7593
MEM 219.054688 1690947546.8597
MEM 219.054688 1690947546.9601
MEM 219.054688 1690947547.0609
MEM 219.054688 1690947547.1612
MEM 219.054688 1690947547.2619
MEM 219.054688 1690947547.3628
MEM 219.054688 1690947547.4631
MEM 219.054688 1690947547.5635
MEM 219.054688 1690947547.6638
MEM 219.054688 1690947547.7644
MEM 219.054688 1690947547.8646
MEM 219.054688 1690947547.9654
MEM 219.054688 1690947548.0658
MEM 219.062500 1690947548.1662
MEM 219.062500 1690947548.2667
MEM 219.062500 1690947548.3674
MEM 219.062500 1690947548.4679
MEM 219.062500 1690947548.5683
MEM 219.062500 1690947548.6688
MEM 219.062500 1690947548.7696
MEM 219.062500 1690947548.8700
MEM 219.062500 1690947548.9704
MEM 219.062500 1690947549.0708
MEM 219.062500 1690947549.1712
MEM 219.042969 1690947549.2720
MEM 219.042969 1690947549.3724
MEM 225.945312 1690947549.4728
MEM 226.355469 1690947549.5737
MEM 226.386719 1690947549.6743
MEM 226.386719 1690947549.7747
MEM 226.386719 1690947549.8753
MEM 226.386719 1690947549.9760
MEM 226.386719 1690947550.0764
MEM 226.386719 1690947550.1772
MEM 226.386719 1690947550.2773
MEM 226.386719 1690947550.3777
MEM 226.386719 1690947550.4781
MEM 226.394531 1690947550.5783
MEM 227.234375 1690947550.6789
MEM 227.242188 1690947550.7792
MEM 227.242188 1690947550.8795
MEM 227.242188 1690947550.9797
MEM 227.242188 1690947551.0801
MEM 227.277344 1690947551.1803
MEM 227.320312 1690947551.2809
MEM 227.328125 1690947551.3812
MEM 227.328125 1690947551.4817
MEM 227.363281 1690947551.5822
MEM 227.363281 1690947551.6825
MEM 227.363281 1690947551.7828
MEM 227.363281 1690947551.8832
MEM 227.363281 1690947551.9839
MEM 227.363281 1690947552.0840
MEM 227.363281 1690947552.1843
MEM 227.363281 1690947552.2847
MEM 227.367188 1690947552.3852
MEM 227.367188 1690947552.4856
MEM 227.367188 1690947552.5858
MEM 227.367188 1690947552.6862
MEM 227.367188 1690947552.7866
MEM 227.367188 1690947552.8870
MEM 227.367188 1690947552.9872
MEM 227.367188 1690947553.0875
MEM 227.367188 1690947553.1879
MEM 227.367188 1690947553.2882
MEM 227.367188 1690947553.3885
MEM 227.367188 1690947553.4894
MEM 227.367188 1690947553.5900
MEM 227.367188 1690947553.6905
MEM 227.367188 1690947553.7909
MEM 227.367188 1690947553.8914
MEM 227.367188 1690947553.9916
MEM 227.367188 1690947554.0922
MEM 227.367188 1690947554.1928
MEM 227.367188 1690947554.2932
MEM 227.367188 1690947554.3935
MEM 227.367188 1690947554.4941
MEM 227.367188 1690947554.5944
MEM 227.367188 1690947554.6948
MEM 227.367188 1690947554.7951
MEM 227.367188 1690947554.8959
MEM 227.367188 1690947554.9966
MEM 227.367188 1690947555.0968
MEM 227.367188 1690947555.1972
MEM 229.648438 1690947555.2979
MEM 227.367188 1690947555.3995
MEM 227.367188 1690947555.4999
MEM 227.367188 1690947555.6004
MEM 227.367188 1690947555.7010
MEM 227.367188 1690947555.8014
MEM 227.382812 1690947555.9021
MEM 229.894531 1690947556.0025
MEM 227.382812 1690947556.1034
MEM 227.382812 1690947556.2043
MEM 227.382812 1690947556.3047
MEM 227.382812 1690947556.4051
MEM 227.382812 1690947556.5055
MEM 227.382812 1690947556.6059
MEM 227.382812 1690947556.7062
MEM 227.382812 1690947556.8068
MEM 227.382812 1690947556.9072
MEM 227.382812 1690947557.0077
MEM 227.382812 1690947557.1081
MEM 227.382812 1690947557.2083
MEM 227.382812 1690947557.3087
MEM 227.382812 1690947557.4092
MEM 227.382812 1690947557.5094
MEM 227.382812 1690947557.6102
MEM 227.382812 1690947557.7104
MEM 227.382812 1690947557.8109
MEM 227.382812 1690947557.9113
MEM 227.382812 1690947558.0117
MEM 227.382812 1690947558.1121
MEM 227.382812 1690947558.2128
MEM 227.382812 1690947558.3132
MEM 227.382812 1690947558.4135
MEM 227.382812 1690947558.5140
MEM 227.382812 1690947558.6143
MEM 227.382812 1690947558.7148
MEM 227.382812 1690947558.8156
MEM 227.382812 1690947558.9163
MEM 227.382812 1690947559.0165
MEM 227.382812 1690947559.1170
MEM 227.382812 1690947559.2176
MEM 227.382812 1690947559.3180
MEM 227.382812 1690947559.4187
MEM 227.382812 1690947559.5193
MEM 227.382812 1690947559.6195
MEM 227.382812 1690947559.7198
MEM 227.382812 1690947559.8206
MEM 238.542969 1690947559.9213
MEM 270.035156 1690947560.0215
MEM 232.339844 1690947560.1220
MEM 239.933594 1690947560.2225
MEM 232.371094 1690947560.3236
MEM 232.371094 1690947560.4238
MEM 232.371094 1690947560.5242
MEM 232.371094 1690947560.6249
MEM 232.371094 1690947560.7251
MEM 232.371094 1690947560.8256
MEM 232.371094 1690947560.9264
MEM 228.218750 1690947561.0268
MEM 228.871094 1690947561.1279
MEM 228.871094 1690947561.2284
MEM 228.871094 1690947561.3295
MEM 228.871094 1690947561.4298
MEM 228.871094 1690947561.5302
MEM 228.871094 1690947561.6306
MEM 228.871094 1690947561.7310
MEM 228.871094 1690947561.8314
MEM 228.871094 1690947561.9323
MEM 228.871094 1690947562.0325
MEM 228.871094 1690947562.1332
MEM 228.871094 1690947562.2336
MEM 228.871094 1690947562.3338
MEM 228.871094 1690947562.4340
MEM 228.871094 1690947562.5345
MEM 228.871094 1690947562.6352
MEM 228.871094 1690947562.7358
MEM 228.871094 1690947562.8360
MEM 228.871094 1690947562.9366
MEM 228.871094 1690947563.0370
MEM 228.871094 1690947563.1377
MEM 228.855469 1690947563.2381
MEM 228.855469 1690947563.3386
MEM 228.855469 1690947563.4390
MEM 228.855469 1690947563.5394
MEM 228.855469 1690947563.6400
MEM 228.855469 1690947563.7403
MEM 228.855469 1690947563.8411
MEM 228.855469 1690947563.9414
MEM 228.855469 1690947564.0422
MEM 228.855469 1690947564.1426
MEM 228.855469 1690947564.2428
MEM 228.855469 1690947564.3432
MEM 228.855469 1690947564.4437
MEM 228.855469 1690947564.5440
MEM 228.855469 1690947564.6445
MEM 228.871094 1690947564.7452
MEM 228.890625 1690947564.8457
MEM 228.890625 1690947564.9462
MEM 228.890625 1690947565.0467
MEM 228.890625 1690947565.1471
MEM 228.890625 1690947565.2474
MEM 228.890625 1690947565.3479
MEM 228.890625 1690947565.4481
MEM 228.890625 1690947565.5487
MEM 228.890625 1690947565.6493
MEM 228.890625 1690947565.7501
MEM 228.890625 1690947565.8506
MEM 228.890625 1690947565.9512
MEM 228.890625 1690947566.0516
MEM 228.890625 1690947566.1520
MEM 228.890625 1690947566.2524
MEM 228.890625 1690947566.3528
MEM 228.890625 1690947566.4532
MEM 228.890625 1690947566.5535
MEM 228.890625 1690947566.6539
MEM 228.890625 1690947566.7542
MEM 228.890625 1690947566.8549
MEM 228.890625 1690947566.9554
MEM 228.890625 1690947567.0559
MEM 228.890625 1690947567.1560
MEM 228.890625 1690947567.2565
MEM 228.890625 1690947567.3571
MEM 228.929688 1690947567.4574
MEM 228.929688 1690947567.5578
MEM 228.929688 1690947567.6585
MEM 228.929688 1690947567.7590
MEM 228.929688 1690947567.8595
MEM 228.929688 1690947567.9600
MEM 236.671875 1690947568.0602
MEM 268.406250 1690947568.1607
MEM 229.050781 1690947568.2613
MEM 229.050781 1690947568.3623
MEM 229.050781 1690947568.4628
MEM 229.179688 1690947568.5632
MEM 230.164062 1690947568.6634
MEM 230.289062 1690947568.7637
MEM 230.621094 1690947568.8640
MEM 230.621094 1690947568.9642
MEM 230.621094 1690947569.0645
MEM 231.164062 1690947569.1647
MEM 240.691406 1690947569.2650
MEM 240.691406 1690947569.3655
MEM 240.691406 1690947569.4658
MEM 240.691406 1690947569.5661
MEM 240.691406 1690947569.6664
MEM 240.691406 1690947569.7668
MEM 240.691406 1690947569.8672
MEM 240.691406 1690947569.9675
MEM 240.691406 1690947570.0680
MEM 240.691406 1690947570.1682
MEM 240.691406 1690947570.2685
MEM 240.691406 1690947570.3689
MEM 240.691406 1690947570.4695
MEM 240.691406 1690947570.5701
MEM 240.691406 1690947570.6705
MEM 240.691406 1690947570.7714
MEM 240.691406 1690947570.8717
MEM 240.691406 1690947570.9718
MEM 240.691406 1690947571.0726
MEM 240.691406 1690947571.1728
MEM 240.691406 1690947571.2731
MEM 149.699219 1690947571.4033
